job_title,location,industry,skills,experience,salary_lpa,posted_date
data analyst,Hyderabad,E-Commerce,"excel, power bi, sql",4,24,2023-11-24
cyber security analyst,Delhi,IT,"linux, networking, security",2,16,2024-04-06
data scientist,Delhi,EdTech,"statistics, ml, python",2,5,2023-03-18
cloud engineer,Chennai,E-Commerce,"docker, linux, aws",8,8,2024-05-18
ml engineer,Hyderabad,HealthTech,"tensorflow, python, ml",1,23,2023-03-26
data analyst,Chennai,FinTech,"sql, python, excel",4,16,2023-07-16
web developer,Bangalore,HealthTech,"javascript, css, react",5,10,2023-02-12
data scientist,Pune,HealthTech,"statistics, sql, python",2,11,2023-12-18
cloud engineer,Delhi,E-Commerce,"linux, docker, aws",2,18,2024-07-08
devops engineer,Pune,EdTech,"kubernetes, docker, aws",0,13,2024-10-20
web developer,Hyderabad,FinTech,"react, css, html",0,21,2023-03-05
cloud engineer,Hyderabad,EdTech,"docker, azure, linux",6,6,2023-11-26
web developer,Hyderabad,FinTech,"react, javascript, html",2,21,2023-10-10
devops engineer,Delhi,FinTech,"linux, aws, kubernetes",4,22,2023-10-23
ml engineer,Bangalore,HealthTech,"deep learning, tensorflow, ml",0,23,2024-10-27
devops engineer,Bangalore,EdTech,"kubernetes, docker, linux",8,6,2023-12-06
data analyst,Pune,HealthTech,"excel, sql, power bi",0,12,2023-11-22
business analyst,Hyderabad,HealthTech,"excel, sql, communication",0,13,2024-12-01
software engineer,Chennai,E-Commerce,"java, sql, python",6,10,2023-12-08
ai engineer,Mumbai,E-Commerce,"ai, python, ml",6,14,2023-06-27
devops engineer,Mumbai,HealthTech,"aws, docker, linux",2,25,2023-04-11
devops engineer,Hyderabad,HealthTech,"docker, linux, aws",6,13,2023-07-09
cloud engineer,Chennai,FinTech,"docker, aws, linux",3,8,2023-02-28
devops engineer,Chennai,HealthTech,"kubernetes, aws, docker",8,3,2024-09-07
business analyst,Chennai,E-Commerce,"communication, sql, excel",5,11,2023-04-28
web developer,Mumbai,IT,"javascript, html, react",2,11,2023-07-03
web developer,Pune,E-Commerce,"react, html, css",4,8,2024-09-21
ai engineer,Bangalore,FinTech,"ai, nlp, python",0,18,2023-04-21
ai engineer,Bangalore,IT,"ai, ml, python",3,19,2024-08-16
business analyst,Chennai,IT,"excel, communication, sql",4,9,2024-07-27
ai engineer,Mumbai,IT,"ml, nlp, python",0,9,2024-04-25
data analyst,Mumbai,E-Commerce,"excel, sql, power bi",5,21,2024-05-29
ai engineer,Chennai,HealthTech,"ai, ml, python",8,25,2023-11-14
ml engineer,Chennai,FinTech,"deep learning, tensorflow, python",1,20,2024-02-12
cyber security analyst,Pune,FinTech,"security, linux, networking",3,21,2023-06-16
cloud engineer,Chennai,EdTech,"aws, linux, azure",1,21,2024-06-27
data analyst,Chennai,E-Commerce,"excel, python, sql",6,15,2024-02-28
data analyst,Bangalore,IT,"excel, python, power bi",8,8,2024-11-30
data scientist,Chennai,FinTech,"sql, ml, statistics",0,17,2023-07-17
data scientist,Pune,E-Commerce,"statistics, ml, python",4,21,2024-07-04
devops engineer,Mumbai,E-Commerce,"docker, aws, kubernetes",8,19,2023-04-01
ai engineer,Chennai,E-Commerce,"python, ml, ai",2,21,2023-07-10
cloud engineer,Pune,EdTech,"azure, docker, aws",0,23,2023-05-29
devops engineer,Pune,EdTech,"linux, aws, kubernetes",4,19,2024-05-22
ai engineer,Delhi,HealthTech,"python, ml, nlp",1,9,2024-02-21
cyber security analyst,Hyderabad,HealthTech,"networking, linux, security",8,20,2023-08-20
data analyst,Bangalore,EdTech,"power bi, excel, sql",5,9,2023-03-16
data analyst,Delhi,E-Commerce,"excel, power bi, python",3,9,2023-03-13
ml engineer,Mumbai,E-Commerce,"ml, python, deep learning",8,17,2023-11-16
data analyst,Pune,E-Commerce,"power bi, python, sql",8,11,2024-10-15
ml engineer,Pune,EdTech,"ml, python, tensorflow",1,6,2023-08-07
ai engineer,Bangalore,FinTech,"ai, python, nlp",7,7,2023-03-27
data scientist,Bangalore,FinTech,"statistics, sql, ml",6,11,2024-12-25
data scientist,Hyderabad,E-Commerce,"ml, statistics, python",3,21,2024-02-17
devops engineer,Chennai,IT,"aws, kubernetes, linux",4,12,2024-12-04
data scientist,Mumbai,IT,"statistics, python, ml",8,5,2024-12-03
data scientist,Mumbai,FinTech,"statistics, sql, python",4,5,2023-03-26
software engineer,Hyderabad,EdTech,"python, java, oops",8,8,2024-10-05
web developer,Bangalore,EdTech,"react, css, html",0,9,2023-08-12
web developer,Delhi,HealthTech,"javascript, html, react",6,3,2024-01-04
web developer,Bangalore,FinTech,"css, react, javascript",2,25,2024-10-03
data analyst,Mumbai,EdTech,"python, excel, sql",0,23,2024-07-30
cyber security analyst,Pune,IT,"linux, security, networking",4,21,2023-03-11
devops engineer,Pune,IT,"kubernetes, linux, aws",1,9,2024-11-29
ml engineer,Bangalore,E-Commerce,"deep learning, tensorflow, ml",3,3,2024-12-02
web developer,Pune,HealthTech,"css, react, html",8,13,2024-02-13
cyber security analyst,Chennai,E-Commerce,"networking, linux, security",1,19,2024-07-30
business analyst,Pune,IT,"communication, excel, sql",7,8,2024-06-15
business analyst,Chennai,IT,"excel, sql, communication",4,15,2024-12-18
data analyst,Chennai,E-Commerce,"sql, excel, power bi",2,7,2024-08-01
cloud engineer,Bangalore,EdTech,"linux, azure, aws",3,21,2023-02-13
cyber security analyst,Hyderabad,IT,"linux, networking, security",4,8,2023-11-16
data analyst,Mumbai,E-Commerce,"python, excel, sql",2,12,2024-06-24
devops engineer,Mumbai,EdTech,"aws, kubernetes, linux",0,12,2024-01-23
devops engineer,Pune,FinTech,"aws, linux, kubernetes",4,7,2023-05-22
cyber security analyst,Delhi,HealthTech,"security, linux, networking",8,12,2023-05-17
ml engineer,Pune,IT,"ml, python, deep learning",8,12,2024-07-20
business analyst,Bangalore,E-Commerce,"communication, sql, excel",0,21,2024-12-14
web developer,Pune,HealthTech,"javascript, html, react",5,3,2024-07-27
cloud engineer,Bangalore,HealthTech,"linux, aws, docker",0,19,2024-05-07
cloud engineer,Hyderabad,IT,"azure, docker, linux",7,8,2023-08-04
cyber security analyst,Chennai,EdTech,"security, networking, linux",6,6,2024-11-15
ml engineer,Chennai,IT,"python, ml, deep learning",3,25,2023-11-02
software engineer,Bangalore,IT,"sql, oops, java",0,15,2024-05-13
data analyst,Mumbai,E-Commerce,"sql, excel, python",4,3,2024-11-12
devops engineer,Bangalore,E-Commerce,"kubernetes, aws, docker",4,19,2023-04-28
data scientist,Pune,IT,"statistics, sql, ml",0,5,2024-12-08
ml engineer,Hyderabad,E-Commerce,"tensorflow, python, ml",6,25,2024-08-24
data scientist,Bangalore,IT,"ml, statistics, sql",8,14,2024-05-03
web developer,Pune,FinTech,"html, css, javascript",8,4,2023-11-11
data analyst,Hyderabad,HealthTech,"python, sql, power bi",1,25,2024-08-28
ml engineer,Hyderabad,HealthTech,"tensorflow, python, ml",4,4,2024-11-02
software engineer,Delhi,EdTech,"python, sql, java",8,3,2024-11-18
web developer,Hyderabad,IT,"react, javascript, css",6,3,2023-10-17
ml engineer,Chennai,IT,"deep learning, python, tensorflow",1,24,2024-12-02
cyber security analyst,Hyderabad,IT,"networking, linux, security",8,16,2023-05-04
cyber security analyst,Hyderabad,FinTech,"linux, security, networking",5,18,2024-01-27
business analyst,Pune,IT,"communication, sql, excel",5,13,2023-08-20
cloud engineer,Bangalore,E-Commerce,"azure, linux, docker",8,12,2023-01-25
cloud engineer,Delhi,EdTech,"aws, linux, docker",8,21,2024-05-02
ml engineer,Delhi,FinTech,"ml, deep learning, tensorflow",8,17,2024-04-08
ai engineer,Chennai,EdTech,"python, ai, nlp",0,18,2023-11-27
business analyst,Bangalore,HealthTech,"excel, communication, sql",7,7,2023-02-02
web developer,Mumbai,E-Commerce,"html, javascript, css",7,10,2024-06-06
business analyst,Mumbai,EdTech,"communication, excel, sql",3,17,2023-04-16
data analyst,Pune,HealthTech,"sql, power bi, excel",5,5,2023-03-25
software engineer,Hyderabad,FinTech,"python, java, oops",8,22,2024-06-15
ml engineer,Bangalore,HealthTech,"ml, tensorflow, deep learning",2,19,2023-06-10
data scientist,Pune,EdTech,"ml, python, statistics",0,7,2024-03-04
software engineer,Delhi,IT,"java, python, oops",2,12,2024-07-22
data analyst,Bangalore,FinTech,"power bi, sql, python",7,13,2023-10-21
ml engineer,Pune,HealthTech,"python, deep learning, tensorflow",1,13,2024-11-02
data analyst,Hyderabad,IT,"excel, python, sql",4,15,2023-07-02
devops engineer,Chennai,E-Commerce,"kubernetes, docker, aws",8,23,2024-07-07
ml engineer,Bangalore,E-Commerce,"python, ml, deep learning",8,3,2023-01-11
software engineer,Mumbai,EdTech,"python, oops, sql",2,11,2023-05-04
ai engineer,Chennai,FinTech,"nlp, ai, python",7,7,2023-05-11
devops engineer,Bangalore,HealthTech,"aws, docker, kubernetes",0,15,2023-05-28
data scientist,Mumbai,HealthTech,"statistics, sql, ml",4,8,2023-11-17
business analyst,Mumbai,EdTech,"communication, sql, excel",2,12,2024-08-29
ai engineer,Mumbai,E-Commerce,"nlp, python, ml",7,18,2024-11-06
cyber security analyst,Bangalore,E-Commerce,"linux, security, networking",0,18,2023-08-19
ai engineer,Delhi,FinTech,"nlp, ai, python",2,24,2023-08-08
software engineer,Hyderabad,E-Commerce,"oops, python, java",0,14,2024-11-07
data analyst,Hyderabad,IT,"python, sql, power bi",8,8,2024-10-15
cloud engineer,Pune,FinTech,"azure, docker, aws",1,4,2024-09-14
cloud engineer,Chennai,EdTech,"linux, aws, docker",4,24,2024-01-10
data scientist,Pune,EdTech,"statistics, sql, ml",1,4,2024-09-05
cyber security analyst,Delhi,EdTech,"linux, networking, security",8,11,2023-08-08
cloud engineer,Hyderabad,HealthTech,"azure, aws, docker",4,16,2023-09-13
web developer,Pune,EdTech,"html, css, react",0,19,2024-03-09
cyber security analyst,Pune,HealthTech,"networking, linux, security",5,4,2024-10-18
business analyst,Chennai,IT,"sql, excel, communication",3,12,2023-08-18
data analyst,Bangalore,E-Commerce,"sql, python, excel",6,10,2023-05-04
data analyst,Bangalore,IT,"python, power bi, sql",5,11,2023-02-02
web developer,Pune,FinTech,"javascript, react, css",7,10,2023-05-01
data scientist,Hyderabad,EdTech,"ml, statistics, sql",7,10,2023-03-26
ai engineer,Pune,HealthTech,"ai, nlp, ml",3,6,2023-09-16
devops engineer,Chennai,FinTech,"kubernetes, aws, docker",2,22,2024-05-31
cloud engineer,Hyderabad,FinTech,"azure, docker, linux",2,15,2023-07-14
data analyst,Hyderabad,EdTech,"excel, python, sql",6,25,2024-05-12
cyber security analyst,Mumbai,HealthTech,"networking, security, linux",5,13,2023-01-21
web developer,Hyderabad,HealthTech,"react, css, javascript",3,19,2024-07-27
cyber security analyst,Bangalore,EdTech,"networking, linux, security",4,4,2023-03-19
business analyst,Hyderabad,IT,"excel, communication, sql",2,10,2024-11-08
data analyst,Pune,HealthTech,"power bi, excel, sql",4,8,2023-04-25
cloud engineer,Pune,E-Commerce,"aws, linux, azure",3,11,2023-08-27
web developer,Delhi,HealthTech,"react, css, html",0,7,2024-12-03
ml engineer,Bangalore,IT,"tensorflow, ml, deep learning",6,7,2023-04-17
ml engineer,Chennai,EdTech,"ml, python, tensorflow",1,14,2023-11-18
software engineer,Chennai,IT,"python, java, oops",1,22,2023-11-17
cyber security analyst,Hyderabad,E-Commerce,"linux, networking, security",8,11,2023-11-28
ai engineer,Chennai,IT,"ai, ml, nlp",3,20,2024-04-23
business analyst,Pune,HealthTech,"excel, sql, communication",3,13,2023-05-25
data analyst,Pune,E-Commerce,"power bi, excel, python",1,5,2024-01-26
data scientist,Bangalore,FinTech,"statistics, python, ml",0,8,2024-10-13
business analyst,Hyderabad,IT,"sql, excel, communication",4,24,2024-05-11
ml engineer,Bangalore,FinTech,"ml, deep learning, tensorflow",3,9,2024-04-16
data scientist,Bangalore,E-Commerce,"python, sql, statistics",0,16,2023-05-09
web developer,Hyderabad,HealthTech,"css, react, html",2,20,2023-08-25
ml engineer,Bangalore,EdTech,"python, ml, tensorflow",6,19,2023-09-23
cyber security analyst,Delhi,EdTech,"networking, linux, security",1,14,2024-08-08
business analyst,Bangalore,E-Commerce,"communication, excel, sql",4,19,2023-03-11
web developer,Bangalore,IT,"html, react, javascript",3,8,2024-12-10
ai engineer,Hyderabad,E-Commerce,"python, nlp, ml",4,13,2024-07-07
web developer,Chennai,HealthTech,"javascript, html, css",7,23,2024-10-10
devops engineer,Mumbai,FinTech,"docker, kubernetes, aws",0,6,2023-08-14
web developer,Mumbai,E-Commerce,"javascript, html, react",0,16,2023-09-24
data scientist,Delhi,EdTech,"python, sql, ml",6,8,2023-06-19
ml engineer,Bangalore,FinTech,"python, tensorflow, deep learning",1,5,2024-07-04
ai engineer,Chennai,HealthTech,"ml, nlp, ai",8,25,2024-04-03
devops engineer,Hyderabad,EdTech,"aws, linux, kubernetes",6,18,2024-09-28
ml engineer,Pune,EdTech,"ml, deep learning, tensorflow",3,22,2023-07-23
web developer,Bangalore,IT,"html, css, react",0,3,2023-10-02
data scientist,Pune,IT,"python, statistics, ml",3,19,2024-05-22
software engineer,Bangalore,EdTech,"sql, oops, java",0,18,2024-07-22
ml engineer,Chennai,E-Commerce,"deep learning, ml, tensorflow",6,11,2024-05-14
data scientist,Bangalore,IT,"python, sql, ml",6,16,2024-04-19
ai engineer,Pune,E-Commerce,"ml, python, nlp",5,19,2024-02-12
devops engineer,Bangalore,IT,"docker, aws, linux",3,23,2023-03-03
ml engineer,Chennai,HealthTech,"ml, tensorflow, python",1,13,2023-08-17
business analyst,Mumbai,IT,"communication, excel, sql",1,8,2023-08-24
business analyst,Mumbai,HealthTech,"communication, sql, excel",4,6,2023-12-20
ai engineer,Hyderabad,FinTech,"ml, ai, nlp",4,6,2024-08-29
web developer,Pune,FinTech,"javascript, html, react",4,15,2024-12-10
web developer,Pune,HealthTech,"react, javascript, css",3,4,2023-09-21
cloud engineer,Pune,HealthTech,"linux, docker, azure",5,14,2023-03-12
cyber security analyst,Pune,EdTech,"security, linux, networking",5,7,2024-09-25
cyber security analyst,Mumbai,FinTech,"security, linux, networking",2,19,2023-08-14
data analyst,Mumbai,EdTech,"power bi, sql, python",1,21,2023-03-28
cloud engineer,Hyderabad,E-Commerce,"linux, aws, azure",8,4,2023-09-12
devops engineer,Mumbai,IT,"aws, linux, kubernetes",3,23,2023-01-23
devops engineer,Bangalore,IT,"aws, linux, kubernetes",6,13,2024-07-25
ai engineer,Pune,HealthTech,"nlp, ai, ml",7,6,2024-08-20
ai engineer,Bangalore,EdTech,"nlp, ml, ai",2,15,2024-12-27
web developer,Chennai,E-Commerce,"react, html, css",3,23,2024-11-24
ml engineer,Pune,E-Commerce,"python, ml, deep learning",3,24,2023-10-01
cloud engineer,Chennai,FinTech,"aws, docker, azure",2,23,2023-03-21
web developer,Chennai,IT,"html, css, react",2,8,2023-06-15
ml engineer,Hyderabad,HealthTech,"tensorflow, python, deep learning",3,17,2023-11-18
